category,title,link,content,author,date
Tech,TikTok sues to block US law that could ban app,https://fingaz.co.zw/tiktok-sues-to-block-us-law-that-could-ban-app/,TikTok has filed a lawsuit aiming to block a US law that would ban the video app in…,,
Tech,Facebook ‘did nothing about Taylor Swift ticket hack scam’,https://fingaz.co.zw/facebook-did-nothing-about-taylor-swift-ticket-hack-scam/,Facebook users whose accounts were hacked and hijacked to sell fake Taylor Swift tickets have criticised the platform…,,
Tech,Diss electric car charging plans due to be turned down,https://fingaz.co.zw/diss-electric-car-charging-plans-due-to-be-turned-down/,Plans for a new electric car charging station are expected to be turned down by councillors.…,,
Tech,Tech firms face tougher online age checks – Ofcom,https://fingaz.co.zw/tech-firms-face-tougher-online-age-checks-ofcom/,Ofcom has warned social media sites they could be banned for under-18s if they fail to comply with…,,
Tech,Tens of millions secretly use WhatsApp despite bans,https://fingaz.co.zw/tens-of-millions-secretly-use-whatsapp-despite-bans/,“Tens of millions” of people are using technical workarounds to secretly access WhatsApp in countries where it is…,,
Tech,Amazon Prime ads help tech giant drive profits,https://fingaz.co.zw/amazon-prime-ads-help-tech-giant-drive-profits/,Adverts shown during Amazon Prime shows and films have helped the tech giant to beat forecasts for sales…,,
Tech,Meta faces EU probe over Russian disinformation,https://fingaz.co.zw/meta-faces-eu-probe-over-russian-disinformation/,"The European Commission has opened formal investigation proceedings into Meta over its handling of political content, including a…",,
Tech,Binance crypto boss Changpeng Zhao sentenced to 4 months in prison,https://fingaz.co.zw/binance-crypto-boss-changpeng-zhao-sentenced-to-4-months-in-prison/,The founder of the world’s largest crypto exchange has been sentenced to four months in prison in the…,,
Tech,Tesla brings forward new models as profits slump,https://fingaz.co.zw/tesla-brings-forward-new-models-as-profits-slump/,"Tesla has seen its profits more than halve this year, and says it will bring forward the launch…",,
Tech,Essex University’s AI brain study brings ‘hope’ to childhood trauma survivors,https://fingaz.co.zw/essex-universitys-ai-brain-study-brings-hope-to-childhood-trauma-survivors/,The world’s largest study into how childhood trauma affects the brain has offered new hope to survivors.…,,
Companies & Markets,CBZ grow loans and advances by 145 percent …as insurance business woes persist,https://fingaz.co.zw/cbz-grow-loans-and-advances-by-145-percent-as-insurance-business-woes-persist/,THE Zimbabwe Stock Exchange (ZSE) recorded a significant surge in both its top and bottom lines in the…,,
Companies & Markets,"ZSE posts $6,83 billion profit, declares blended dividend",https://fingaz.co.zw/zse-posts-683-billion-profit-declares-blended-dividend/,By Prisca Tshuma Staff writer AFRICAN Sun says it will continue pursuing its prudent cash deployment strategy with…,,
Companies & Markets,African Sun ups capex on hotels upgrade,https://fingaz.co.zw/african-sun-ups-capex-on-hotels-upgrade/,"CONVEYOR belts supplier, General Beltings Holdings says it wants to focus on consolidating market share in energy and…",,
Lifestyle,Tech firms told to hide ‘toxic’ content from children,https://fingaz.co.zw/tech-firms-told-to-hide-toxic-content-from-children/,Ofcom has warned social media sites they could be named and shamed – and banned for under-18s –…,,
Lifestyle,‘AI can help people keep physical jobs for longer’,https://fingaz.co.zw/ai-can-help-people-keep-physical-jobs-for-longer/,The debate about the impact of artificial intelligence (AI) on jobs is growing. The Institute of Public Policy Research (IPPR)…,,
Lifestyle,What is the Online Safety Act and how can you keep children safe online?,https://fingaz.co.zw/what-is-the-online-safety-act-and-how-can-you-keep-children-safe-online/,"Technology companies will have to take more action to keep children safe on the internet, following the introduction…",,
Lifestyle,Miss USA Noelia Voigt resigns title on mental health grounds,https://fingaz.co.zw/miss-usa-noelia-voigt-resigns-title-on-mental-health-grounds/,"Reigning Miss USA Noelia Voigt has resigned her title, citing mental health reasons.…",,
Lifestyle,Drake denies allegations of underage relationships in Kendrick Lamar song,https://fingaz.co.zw/drake-denies-allegations-of-underage-relationships-in-kendrick-lamar-song/,"Drake has denied allegations of having relationships with underage women, and of harbouring a secret love child, which…",,
Lifestyle,How AI is testing the boundaries of human intelligence,https://fingaz.co.zw/how-ai-is-testing-the-boundaries-of-human-intelligence/,"Welcome to AI v the Mind, a new series from the BBC that will explore the limits of…",,
Lifestyle,"Kendrick Lamar escalates Drake feud on the scathing diss track, Euphoria",https://fingaz.co.zw/kendrick-lamar-escalates-drake-feud-on-the-scathing-diss-track-euphoria/,"Kendrick Lamar has released a diss track attacking fellow rap star Drake, escalating their long-running feud.…",,
Lifestyle,Zim teenager – Thomas Machingaidze – makes astronomical history,https://fingaz.co.zw/zim-teenager-thomas-machingaidze-makes-astronomical-history/,SIXTEEN-year-old Thomas Machingaidze (TM) made history last week when he became the first Zimbabwean to be accepted for…,,
Lifestyle,"Asthma: Action needed on needless deaths, says charity",https://fingaz.co.zw/asthma-action-needed-on-needless-deaths-says-charity/,"Urgent government action is needed to stop preventable asthma deaths, a leading charity has said.…",,
Lifestyle,Taylor Swift’s 1830s Lyrics Spark Backlash from African Americans,https://fingaz.co.zw/taylor-swifts-1830s-lyrics-spark-backlash-from-african-americans/,Taylor Swift has divided music lovers with a lyric on her new album that says she would like…,,
Sport,Is tennis catching doping cheats or ruining careers?,https://fingaz.co.zw/is-tennis-catching-doping-cheats-or-ruining-careers/,A SYSTEM designed to uncover cheats in tennis has come under sharpened scrutiny in the wake of former…,,
Sport,Maradona’s ‘stolen’ Golden Ball to be auctioned off,https://fingaz.co.zw/maradonas-stolen-golden-ball-to-be-auctioned-off/,"Diego Maradona’s “stolen” Golden Ball trophy, awarded for being named the best player at the 1986 World Cup,…",,
Sport,End of an era as Mbappe suffers final PSG failure,https://fingaz.co.zw/end-of-an-era-as-mbappe-suffers-final-psg-failure/,Kylian Mbappe would have dreamed of lifting the Champions League trophy for his final European act as a…,,
Sport,Murray set to return from injury at Geneva Open,https://fingaz.co.zw/murray-set-to-return-from-injury-at-geneva-open/,Andy Murray is set to return from injury at the Geneva Open this month.…,,
Sport,Why Gooch’s PGA invite is important for men’s golf,https://fingaz.co.zw/303319-2/,Talor Gooch’s invitation to play next week’s US PGA Championship at Valhalla is a significant step because it…,,
Sport,‘Norris win a popular one as end-of-empire feeling swirls around Red Bull’,https://fingaz.co.zw/norris-win-a-popular-one-as-end-of-empire-feeling-swirls-around-red-bull/,Lando Norris had not even taken his helmet off after securing his maiden Formula 1 victory at the…,,
Sport,Van Dijk wants to be part of Liverpool transition,https://fingaz.co.zw/van-dijk-wants-to-be-part-of-liverpool-transition/,Captain Virgil van Dijk says he “loves” Liverpool and wants to be part of the club’s transition after…,,
Sport,‘Under performing’ Man Utd ‘one of worst coached teams in league’,https://fingaz.co.zw/under-performing-man-utd-one-of-worst-coached-teams-in-league/,"Just when you think things can’t get any worse for Manchester United, they do.…",,
Sport,Nadal falls to Lehecka in final Madrid Open match,https://fingaz.co.zw/nadal-falls-to-lehecka-in-final-madrid-open-match/,Rafael Nadal says it has been a “very emotional” week after he made his last-ever appearance at the…,,
Sport,Red Bull confirm exit of design chief Newey,https://fingaz.co.zw/red-bull-confirm-exit-of-design-chief-newey/,Red Bull have confirmed their design chief Adrian Newey will leave the team in early 2025.…,,
Business,"
                     Industry minister engages businesses over ZiG
                    ",https://www.newsday.co.zw/business/article/200026633/industry-minister-engages-businesses-over-zig,"
                He toured a US$5,6 million pasta manufacturing plant and a US$7,7 million biscuit making line.
              ",,
Business,"
                     Invictus identifies multiple gas potentials
                    ",https://www.newsday.co.zw/author/5236/tatira-zwinoira,"
                The reservoir rock, according to experts, is the porous, permeable rock layer that hold the oil and gas.
              ",,
Business,"
                     General Beltings seeks to consolidate market position
                    ",https://www.newsday.co.zw/author/6312/blessed-ndlovu,"
                Due to geopolitical tensions, mineral reserves will flood the markets and depress demand for minerals that Zimbabwe would ordinarily supply.
              ",,
Business,"
                     London firm targets bulk-mining in Zim
                    ",https://www.newsday.co.zw/business/article/200026603/invictus-identifies-multiple-gas-potentials,"
                This is expected to enable it to test the potential for a bulk mineable gold deposit across the entire shear zone at both prospects.
              ",,
Business,"
                     WestProp plots mega capital raise
                    ",https://www.newsday.co.zw/author/5245/mthandazo-nyoni,"
                He said the lesson learnt from last year was that WestProp was supposed to do a book building exercise to whet the market’s appetite about the IPO.
              ",,
Business,"
                     Econet says it wants to make all remittances into Zimbabwe free
                    ",https://www.newsday.co.zw/business/article/200026600/general-beltings-seeks-to-consolidate-market-position,"
                Econet’s group chief executive, Douglas Mboweni, said the initiative would remain in place for some time
              ",,
Business,"
                     We’ll soar like an eagle: Zimre
                    ",https://www.newsday.co.zw/author/5226/melody-chikono,"
                The group’s healthy balance sheet position is evidence of its resilience and commitment to provide its stakeholders with security, growth and profitability.
              ",,
Business,"
                     Fidelity profit rises by 1 000%
                    ",https://www.newsday.co.zw/business/article/200026599/london-firm-targets-bulk-mining-in-zim,"
                In terms of assets, these were valued at ZWL$483,77 billion, up nearly 79% from the 2022 comparative, driven by investment properties.
              ",,
Business,"
                     Govt introduces fresh tax to keep forex inland
                    ",https://www.newsday.co.zw/author/5226/melody-chikono,"
                Ncube also introduced new charges for withdrawing ZiG and on local currency transactions.
              ",,
Business,"
                     The Top 5 Container Shipping Companies In The World
                    ",https://www.newsday.co.zw/business/article/200026602/westprop-plots-mega-capital-raise,"
                Container shipping is at the core of the global economy, with this industry
              ",,
Business,"
                     ZCTU mourns over low wages
                    ",https://www.newsday.co.zw/author/5365/business-reporter,"
                The letter indicated that any failure on the part of the employment council to comply with those requirements constitutes justifiable grounds for the registrar to cancel a certificate.
              ",,
Business,"
                     ‘Entrepreneurs need to enter into alliances’
                    ",https://www.newsday.co.zw/business/article/200026610/econet-says-it-wants-to-make-all-remittances-into-zimbabwe-free,"
                Tsokodayi also said entrepreneurs should see micro-finance institutions as partners rather than loan sharks.
              ",,
Business,"
                     CBZ to monitor risks to protect 330% profit
                    ",https://www.newsday.co.zw/author/5200/donald-nyandoro,"
                Increased lending and financial securities helped grow CBZ’s total assets to ZWL8,25 trillion at the end of last year, an increase of nearly 80% from 2022.
              ",,
Business,"
                     African Sun flush with cash for capital investments
                    ",https://www.newsday.co.zw/business/article/200026566/well-soar-like-an-eagle-zimre,"
                The commitment comes after the firm increased its capital commitments last year to US$11,01 million, up 20,22% on the 2022 figures.
              ",,
Business,"
                     Watch ZiG closely: Fews Net
                    ",https://www.newsday.co.zw/author/5245/mthandazo-nyoni,"
                Last month saw the introduction of the ZiG, replacing the battered Zimdollar that had experienced a sharp depreciation.
              ",,
Business,"
                     WestProp unveils US$300m mixed-use estate in urban renewal push
                    ",https://www.newsday.co.zw/business/article/200026573/fidelity-profit-rises-by-1-000,"
                WestProp roped in renowned golf course designer Peter Matkovich and top  architect Joan Balagué Capdet to the project.
              ",,
Business,"
                     RTG Abridged financial results year ended 31 Decemeber  2023
                    ",https://www.newsday.co.zw/author/6310/belinda-chiroodza,"
                rgt consolidated financials
              ",,
Business,"
                     Zim to achieve zero tariffs by 2035
                    ",https://www.newsday.co.zw/business/article/200026572/govt-introduces-fresh-tax-to-keep-forex-inland,"
                Zimbabwe’s tariff liberalisation schedule has 6 606 total tariff lines, which have been categorised as categories A, B, and C.
              ",,
Business,"
                     Zimplats spends US$789 million on projects
                    ",https://www.newsday.co.zw/author/6352/tafadzwa-mhlanga,"
                6E metal in final product improved by 12% year-on-year and was 1% higher than the prior quarter.
              ",,
Business,"
                     Econet in a remittance first for Zimbabwe
                    ",https://www.newsday.co.zw/business/article/200026629/the-top-5-container-shipping-companies-in-the-world,"
                Econet has partnered with its sister company, Sasai Money Transfer
              ",,
Business,"
                     Risk management and insurance club launched at GZU
                    ",https://www.newsday.co.zw/author/5184/newsday,"
                The club members will have access to the trending issues in the industry, which could help them to formulate their research topics and produce dissertations.
              ",,
Business,"
                     A third of Zim’s industry ready for AfCFTA: CZI
                    ",https://www.newsday.co.zw/business/article/200026540/zctu-mourns-over-low-wages,"
                He said that companies noted that the cost of production was higher in Zimbabwe compared to other countries making local firms uncompetitive.
              ",,
Business,"
                     Kuvimba CEO steps down
                    ",https://www.newsday.co.zw/author/6312/blessed-ndlovu,"
                Chinyemba had plans to list the company on the Victoria Falls Stock Exchange.
              ",,
Business,"
                     Metbank eyes more forex loans to drive profitability
                    ",https://www.newsday.co.zw/business/article/200026539/entrepreneurs-need-to-enter-into-alliances,"
                A monetary gain and fair value adjustment were the main drivers of profit after tax.
              ",,
Business,"
                     Zimplow completes Barzem acquisition
                    ",https://www.newsday.co.zw/author/6352/tafadzwa-mhlanga,"
                Zimplow said TPS has created a footprint in the supply of filtration, lubricants and mining ground engaging tools as well as securing service level agreements with key operators.
              ",,
Business,"
                     Botswana eyes investment opportunities in Zim
                    ",https://www.newsday.co.zw/business/article/200026541/cbz-to-monitor-risks-to-protect-330-profit,"
                ZimTrade and BITC signed a memorandum of understanding in 2018 to facilitate collaboration and cooperation between the two organisations.
              ",,
Opinion & Analysis,"
                     The whimsical world of work-life balance
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026740/the-whimsical-world-of-work-life-balance,"
                Let’s ponder the term “work-life balance” for a moment.
              ",,
Opinion & Analysis,"
                     PVO Bill poisoned chalice.
                    ",https://www.newsday.co.zw/author/6122/kumbirai-thierry-nhamo,"
                It is imperative that individuals and organizations come out in large numbers to the Public Hearings for the PVO Bill and voice their opposition to the proposed amendments. 
              ",,
Opinion & Analysis,"
                     Africa’s role in delivering a new health win
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026731/pvo-bill-poisoned-chalice,"
                Immunisation is one of our most successful and cost-effective public health interventions.
              ",,
Opinion & Analysis,"
                     ED must innovate to create a new economy
                    ",https://www.newsday.co.zw/author/6450/simbarashe-jingo,"
                In this suffering some want the status quo to remain and they are in their millions.
              ",,
Opinion & Analysis,"
                     Let’s build a strong AI adoption framework
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026662/africas-role-in-delivering-a-new-health-win,"
                AI has emerged as a new battleground for international competition, with nations recognising its potential to drive economic prosperity and national security.
              ",,
Opinion & Analysis,"
                     10 things that will transform Zim
                    ",https://www.newsday.co.zw/author/6748/etleva-kadilli,"
                No magic wand, no quick fix, let alone an individual will transform Zimbabwe. Nation building is heavy lifting, multifaceted, time consuming and needs all hands on deck.
              ",,
Opinion & Analysis,"
                     Benefits of integrating food systems with education
                    ",https://www.newsday.co.zw/author/6749/christopher-j-elias,"
                Knowledge around appropriate food preservation technologies can be embedded at industrial parks occupied by the young generation who are attached to colleges and universities.
              ",,
Opinion & Analysis,"
                     ZiG is yet another infernal nuisance
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026670/ed-must-innovate-to-create-a-new-economy,"
                There is a cost to a government in the hands of a ruling elite of low reputation. It cannot evade censure for attaining power illegitimately and for not being respectful of human rights.
              ",,
Opinion & Analysis,"
                     Gummies vs. flower vs. concentrates: The difference between THCA products
                    ",https://www.newsday.co.zw/author/5652/brian-sedze,"
                The THCA flower consists of the dried buds that contain THCA alongside other cannabinoids and terpenes. 
              ",,
Opinion & Analysis,"
                     Effective communication: An invaluable problem solving tool
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026637/lets-build-a-strong-ai-adoption-framework,"
                Effective communication is not just about being able to talk, but also about being able to express your thoughts and ideas with clarity and charisma.
              ",,
Opinion & Analysis,"
                     Zimbabwe can’t develop on the back of slave labour
                    ",https://www.newsday.co.zw/author/6747/darlington-chigumbu,"
                Are those Mnangagwa’s aspirations? Is this how Zimbabwe is expected to achieve Mnangagwa’s envisioned Vision 2030?
              ",,
Opinion & Analysis,"
                     Is latest global steady economic growth real?
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026635/10-things-that-will-transform-zim,"
                It may also mean that global economies have found opportunities in some of the major wars with the economic benefits far outweighing the negative impacts
              ",,
Opinion & Analysis,"
                     World Press freedom in the face of green propaganda onslaught
                    ",https://www.newsday.co.zw/author/5516/trevor-ncube,"
                Environmental journalists and the journalism profession are at a crossroad, with the profession more dangerous than ever before.
              ",,
Opinion & Analysis,"
                     The language of success
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026604/benefits-of-integrating-food-systems-with-education,"
                When we greet people, their most obvious response is “I am fine!” Stop and think. What does that really mean? Most people settle in that zone called fine. It is generally good.
              ",,
Opinion & Analysis,"
                     New and living way
                    ",https://www.newsday.co.zw/author/5299/charles-dhewa,"
                Complaining or murmuring is fertile ground for not realising the promises of God.
              ",,
Opinion & Analysis,"
                     Is Zim opposition still left-leaning?
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026606/zig-is-yet-another-infernal-nuisance,"
                It was curious that the main opposition party did not give a solidarity statement at the May Day celebrations at Gwanzura Stadium in Highfield, Harare.
              ",,
Opinion & Analysis,"
                     Press Freedom and climate journalism: United in crisis
                    ",https://www.newsday.co.zw/author/6321/cyprian-muketiwa-ndawana,"
                Some journalists understandably believe they are targeted by Israeli forces.
              ",,
Opinion & Analysis,"
                     Winter wheat preps: What farmers should prioritise
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026762/gummies-vs-flower-vs-concentrates-the-difference-between-thca-products,"
                As the current wild season is almost on its periphery, ahead of us is yet another exciting winter season for winter cropping to which participating farmers are currently gearing up.
              ",,
Opinion & Analysis,"
                     When the mind needs a helping hand: Exploring  the world of neuropsychology
                    ",https://www.newsday.co.zw/author/5184/newsday,"
                You might solve some puzzles, answer questions, or use blocks or computers for tasks that seem simple but reveal a lot about how your brain processes information.
              ",,
Opinion & Analysis,"
                     Zim’s moving coffins: The untold story of targets
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026579/effective-communication-an-invaluable-problem-solving-tool,"
                According to the Traffic Safety Council of Zimbabwe (TSCZ), about 90% of road accidents are a result of human error.
              ",,
Opinion & Analysis,"
                     ZiG will stand or fall on public trust, nothing else
                    ",https://www.newsday.co.zw/author/6679/rutendo-kureya,"
                Also, the statutory instruments recently enacted to shield parastatals from public scrutiny undermine public trust in our financial governance.  
              ",,
Opinion & Analysis,"
                     The power of naming
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026575/zimbabwe-cant-develop-on-the-back-of-slave-labour,"
                From the moment we are born, our names begin to shape our identities.
              ",,
Opinion & Analysis,"
                     African economies should use natural resources to shape career pathways
                    ",https://www.newsday.co.zw/author/5303/tendai-ruben-mbofana,"
                A lot could be learnt from African tradition that had its own ways of identifying talents, gifts and passions within children from a tender age.
              ",,
Opinion & Analysis,"
                     New dispensation is losing its marbles
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026542/is-latest-global-steady-economic-growth-real,"
                A truly listening president ought have discerned the essence of the apprehension of citizenry on the introduction of ZiG. Granted, citizenry is distraught as it can sense a bad omen.
              ",,
Opinion & Analysis,"
                     The middle: How to overcome frustration and avoid burnout
                    ",https://www.newsday.co.zw/author/5330/tapiwa-gomo,"
                Understanding what needs to be done in order to attain success but somehow still not succeeding can be a tough blow.
              ",,
Opinion & Analysis,"
                     It’s not sabotage but poor economics!
                    ",https://www.newsday.co.zw/opinion-analysis/article/200026546/world-press-freedom-in-the-face-of-green-propaganda-onslaught,"
                Businesses and State institutions similarly had to shut down their vending systems in order to reconfigure them to recognise the local currency.
              ",,
Sport,"
                     Cosafa honour Chidzambga, Tangawarima
                    ",https://www.newsday.co.zw/sport/article/200026734/cosafa-honour-chidzambga-tangawarima,"
                Sunday Chidzambga has been awarded for his extraordinary success in the COSAFA Cup
              ",,
Sport,"
                     Raza yearns to rediscover form
                    ",https://www.newsday.co.zw/author/5371/sports-reporter,"
                Raza, the mercurial Chevrons skipper who made it into the ICC Men's global T20I squad for 2023, reflected on his performance
              ",,
Sport,"
                     Mohadi shamed by stadia ban
                    ",https://www.newsday.co.zw/sport/article/200026663/raza-yearns-to-rediscover-form,"
                Mohadi came face to face to with the level of decay of the local sporting facilities when he toured the National Sports Stadium, Magamba Hockey Stadium and Rufaro Stadium
              ",,
Sport,"
                     Kaindu prays for goals
                    ",https://www.newsday.co.zw/author/6351/austin-karonga,"
                He struggled in the 2-0 victory over Caps United in which defender Andrew Mbeba and midfielder Mckinnon Mushore scored.
              ",,
