category,title,link,content,author,date
Standard People,,,He started with a chilling warning to illegal money changers at a Zanu PF campaign rally in Harare East last weekend where he threatened them with physical harm.,Doctor Stop It,By
Standard People,,,"Zimbabwe has experienced increased variability in precipitation, leading to more frequent and intense droughts followed by heavy rainfall events.",Gary Gerald Mtombeni,By
Standard People,,,"This came to light just before the global climate summit in Dubai, COP28, and supposedly showed how seriously the petrostate was taking the climate challenge.",Ian Scoones,By
Standard People,,,They were converting ZiG into US dollars at a higher rate than that proposed by the government.,Mlondolozi Ndlovu,By
Standard People,,,Pictures of Mnangagwa and President William Ruto of Kenya—who officially opened the expo—flanking Wicknell Chivayo went viral.,Tawanda Majoni,By
Standard People,,,Youth programme on elections and governance,Ronald  Zvendiya,By
Standard People,,,The incident at Eureka mine raises a pertinent issue about the Ministry of Mines and Mining Development’s capacity to enforce standards in mining operations.,The Standard,By
Standard People,,,"Biden’s policies at home and abroad, are nothing but disastrous to African Americans.",Kenneth Mufuka,By
Standard People,,,History is a painful reminder of losses incurred by economic agents over the years since the nation started currency revaluations in 2006.,Zimcodd,By
Standard People,,,The outbursts of Brother Chris Mutsvangwa conform to a pattern in Zanu PF where there is no intention of engaging opponents in debate.,Kenneth Mufuka,By
Standard People,,,Cyberbullying is a form of harassment and abuse perpetrated through digital technology.,Dr Chido Rwafa-madzvamutse,By
Standard People,,,The Reserve Bank of Zimbabwe’s decision to introduce the ZiG electronically before hard currency is available has sparked panic.,Institute For Security Studies,By
Standard People,,,This article gives a snap view of MINDS activities and events held in 2023 that transforms leadership landscape in Africa.,Ronald Zvendiya,By
Standard People,,,"Zimbabwe, like many emerging economies, faces multifaceted challenges in its housing sector.",Bekithemba Mpofu,By
Standard People,,,Some fail to run their start-ups up to corporate level because they skip a stage.,Farai Chigora,By
Standard People,,,The implications of medication resistance are far-reaching and multifaceted.,Gary Gerald Mtombeni,By
category,title,link,content,,
Business,,,The VFEX said  trading  in BNC shares was suspended with effect from Friday.,,
Business,,,,,
Business,,,,,
Business,,,"Yes, that why many of us have a phobia when it comes to this area from a household to national level.",,
Business,,,The EU brought six member states to participate at this year’s trade showcase.,,
Business,,,"Take, for instance, the illustrious case of China, where asset management juggernauts have embraced real estate investment as the fulcrum of their investment strategies.",,
Business,,,"Specifically, he said alignment was needed between the factor and the central bank before engaging in the transaction.",,
Business,,,The proposed legislation seeks to establish a system where mining information would be captured in real time.,,
Business,,,Reserve Bank of Zimbabwe governor John Mushayavanhu says the ZiG will gain more acceptance with time and this will reduce demand for US dollars.,,
Business,,,"Mutogo said by embracing sustainable banking practices, banks can contribute to the country’s sustainable economic growth while addressing the urgent need for climate action.",,
Business,,,"Zimbabwe has been exporting mineral fuels, iron and steel products and articles of paper, to Zambia while importing cereals, beverages and ceramic products from its neighbour.",,
Business,,,Proton Bakers chief operations officer Simba Bodzo spoke about the company’s plans for the year in a messaged response to Standardbusiness following a tour of the plant,,
Business,,,"Days after the currency was introduced, black market dealers who hold big sums of United States dollar stocks, pegged it at US$1:ZiG18 against the official rate of US$1:ZiG13,56.",,
Business,,,"Chihota gave thumbs up to the parent association, ZBCA, for coming up with such an initiative.",,
Business,,,"Zimbabwe Chamber of SMEs secretary general Valencio Kurauone said the money came from their members, mainly, the youth, widows, men, and women of Chiredzi.",,
Business,,,That is the same reason they are surprised when after establishing a sturdy brand the venture falls into financial distress.,,
Business,,,"As the Zimbabwe market adapts to the yet another currency, Zimbabwe Gold (ZiG), the RBZ has availed US$285 million to shore up the local currency.",,
Business,,,InnBucks has determined the functional currency as the United States dollar.,,
Business,,,"Prosper Matondi, permanent secretary in the ministry of Environment, Climate and Wildlife, said the government had an array of radars that have been installed in about five locations.",,
Business,,,Enhancing transparency and fortifying data aggregation mechanisms assumes paramount importance in buttressing investor confidence and catalysing capital inflows into the real estate ambit.,,
Business,,,he surge of interest in forex trading within Tanzania has led to a proliferation of feature-rich mobile trading apps,,
Business,,,Mushayavanhu also said the bank will continue to maintain a tight monetary policy stance to ensure sustainability of the monetary anchor to control excessive money printing,,
Business,,,"Ncube said the operators feel that there are too many taxes being applied, adding for every dollar earned, US$0,35 went towards taxes.",,
Business,,,AFDB chief economist and vice president for economic governance and knowledge management Kevin Urama said the best way to address debt was to grow the economy.,,
Business,,,"Bhoroma further stated that the regulator, Insurance and Pensions Commission, will now have a situation where the government is the lawmaker through Parliament.",,
Business,,,"The company, which was founded in 1987 has continued to demonstrate professionalism and commitment to excellence.",,
Business,,,"However, the viability of ZiG hinges crucially on its embracement by both populace and enterprises.",,
Business,,,"As aforementioned, there is always a need to strike a balance between market demand and supply by our entrepreneurs.",,
Business,,,"Mutsvangwa welcomed the progressive partnership, which started last year and urged stronger ties between the two partners towards wholesome women emancipation.",,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Obituaries,,,,,
Sport,,,"This reporter interviewed some of the candidates and as expected, the majority remained coy except for Pan Jap who declared his interest.",,
Sport,,,,,
Sport,,,,,
Sport,,,Masiye is turning 60-years-old this month and is a key figure and very popular at the local and national levels in bodybuilding sports.,,
Sport,,,"Coventry is well aware of this model which is spread all over the world and despite her travels and the availability of office space in Zimbabwe,",,
Sport,,,Dembare had the Gamecocks on the ropes for the better part of the game but their forwards chose to disappoint the sizeable crowd that witnessed the lackluster encounter.,,
Sport,,,Chiefs coach Thulani Sibanda said his team were unlucky not to get a result in Mhondoro.,,
Sport,,,"Godknows Mukambi's early strike, assisted by a pinpoint cross from John Zhuwawu, proved to be the difference. Yadah's goalkeeper was left helpless as Mukambi converted the opportunity.",,
Sport,,,Club founder Alois Tarehwa was delighted with the opportunity for his team to participate in the Homeless World Cup trials organised by YASD.,,
Sport,,,FC Platinum last won on 1 April when they beat Herentals 1-0 in the capital.,,
Sport,,,"He failed to judge a Patson Jaure long clearance from the back, with the ball bouncing in front of the keeper on to the post and Machope coolly converted the rebound.",,
Sport,,,Kuipers has even gone as far as deferring her final semester at Wingate University to try and make it for Paris this year.,,
Sport,,,The former Coventry City star was speaking on the sidelines of his visit to FC Porto Academy where he had been invited to interact and inspire budding .,,
Sport,,,"Zimbabwe has been blessed with such coaches, who defy conventions, maestro of mischief, and a master of the unexpected. The late Gishon Ntini and Moses Chunga.",,
Sport,,,Kaindu is aware of the threat posed by  the Green Machine and is sure that the match will be exciting.,,
Sport,,,"Standardsport is not at liberty to reveal who is vying for the Zifa presidency, but can safely reveal that the list reads like a who-is-who in Zimbabwean football.",,
Sport,,,"In an interview with The Sports Hub club secretary general Jemutias Manhondo chronicled the story of a project, which simply wanted to make a difference in the community.",,
Sport,,,The event is set to run from May 5 to 12 with the main championship teeing off on May 9.,,
Sport,,,Chicken Inn beat Highlanders and drew with them last year at BF.,,
Sport,,,Bikita Minerals gaffer Saul Chaminuka was on cloud nine after his men showed character to avoid defeat.,,
Sport,,,Arenel Movers made threats of their own especially with Zibusiso Dambo with the ball at his feet.,,
Sport,,,"Zimbabwe U20 rugby head coach Shaun De Souza was happy with collecting maximum points, adding that the team can only get better with each outing.",,
Sport,,,"The supremo commended the players' passion, which they exhibited whenever faced with difficult circumstances.",,
Sport,,,"Word was that the NC wanted Mapeza to continue as the Zimbabwe coach, but the developments over the past week could have sent those plans to the canvas.",,
Sport,,,The 30-year old told Standard Sport that he will be playing his last season.,,
Sport,,,This week Bunjira gives vital tips on weight loss.,,
Sport,,,Mwana Group has now taken over the sponsorship for the next five years.,,
Sport,,,Tug of war may not exactly attract such large crowds that are found in soccer grounds around the world though it was an Olympic sport between 1900 and 1920.,,
Sport,,,"Majoni early this year won a gold medal at the 21,1km OCC Outeniqua Wheelchair Challenge in George Town, South Africa.",,
Standard People,,,"In conclusion, the urgency of the food crisis in Zimbabwe warrants immediate and increased investment in food aid distribution systems.",,
Standard People,,,,,
Standard People,,,,,
Standard People,,,The stage for politics and revolution is thus on materialism.,,
Standard People,,,"While this procedure is often life-saving for both mum and baby, C/sections come with unique challenges that can influence a woman’s mental well-being.",,
Standard People,,,The media has a crucial role to play in bringing attention to the urgent need for action to address the environmental crisis.,,
Standard People,,,The energy of intense suffering is pushed out of consciousness simply so that life can be allowed to go on.,,
Standard People,,,Observer findings helped Zesn’s assessments in determining whether elections adhered to the set legal framework.,,
Standard People,,,A kid who grows up seeing his or her father making a living from stealing stands a very high chance of becoming a thief.,,
Standard People,,,“I was in Murambinda last week at the Independence Celebrations,,
Standard People,,,"At the epicentre of Zimbabwe’s financial ecosystem stands the Zimbabwe Stock Exchange (ZSE), serving as the fulcrum around which capital market dynamics revolve.",,
Standard People,,,"Nhiwatiwa’s message, though welcome, came at a time when United Methodism itself is at a crossroads.",,
Standard People,,,"Collaborative efforts can help shape global climate policies, secure funding for climate initiatives, and foster a sense of shared responsibility among nations.",,
Standard People,,,He started with a chilling warning to illegal money changers at a Zanu PF campaign rally in Harare East last weekend where he threatened them with physical harm.,,
Standard People,,,"Zimbabwe has experienced increased variability in precipitation, leading to more frequent and intense droughts followed by heavy rainfall events.",,
Standard People,,,"This came to light just before the global climate summit in Dubai, COP28, and supposedly showed how seriously the petrostate was taking the climate challenge.",,
Standard People,,,They were converting ZiG into US dollars at a higher rate than that proposed by the government.,,
Standard People,,,Pictures of Mnangagwa and President William Ruto of Kenya—who officially opened the expo—flanking Wicknell Chivayo went viral.,,
Standard People,,,Youth programme on elections and governance,,
Standard People,,,The incident at Eureka mine raises a pertinent issue about the Ministry of Mines and Mining Development’s capacity to enforce standards in mining operations.,,
Standard People,,,"Biden’s policies at home and abroad, are nothing but disastrous to African Americans.",,
Standard People,,,History is a painful reminder of losses incurred by economic agents over the years since the nation started currency revaluations in 2006.,,
Standard People,,,The outbursts of Brother Chris Mutsvangwa conform to a pattern in Zanu PF where there is no intention of engaging opponents in debate.,,
Standard People,,,Cyberbullying is a form of harassment and abuse perpetrated through digital technology.,,
Standard People,,,The Reserve Bank of Zimbabwe’s decision to introduce the ZiG electronically before hard currency is available has sparked panic.,,
Standard People,,,This article gives a snap view of MINDS activities and events held in 2023 that transforms leadership landscape in Africa.,,
Standard People,,,"Zimbabwe, like many emerging economies, faces multifaceted challenges in its housing sector.",,
Standard People,,,Some fail to run their start-ups up to corporate level because they skip a stage.,,
Standard People,,,The implications of medication resistance are far-reaching and multifaceted.,,
category,title,link,content,,
Business,,,The VFEX said  trading  in BNC shares was suspended with effect from Friday.,,
Business,,,The VFEX said  trading  in BNC shares was suspended with effect from Friday.,,
Obituaries,,,,,
Obituaries,,,,,
Sport,,,"This reporter interviewed some of the candidates and as expected, the majority remained coy except for Pan Jap who declared his interest.",,
Sport,,,"This reporter interviewed some of the candidates and as expected, the majority remained coy except for Pan Jap who declared his interest.",,
Standard People,,,"In conclusion, the urgency of the food crisis in Zimbabwe warrants immediate and increased investment in food aid distribution systems.",,
Standard People,,,"In conclusion, the urgency of the food crisis in Zimbabwe warrants immediate and increased investment in food aid distribution systems.",,
Sports,"
					Arsenal Edges Manchester United to Keep Premier League Title Race Alive				",https://www.thezimbabwemail.com/sports/arsenal-edges-manchester-united-to-keep-premier-league-title-race-alive/,"Manchester,— The Premier League title race is heading for a thrilling climax as Arsenal reclaimed ",,
Sports,"
					Lovro Zvonarek Scores Debut Bundesliga Goal as Bayern Munich Secures Victory				",https://www.thezimbabwemail.com/sports/lovro-zvonarek-scores-debut-bundesliga-goal-as-bayern-munich-secures-victory/,"Berlin,— Lovro Zvonarek made an electrifying Bundesliga debut on Sunday, scoring minutes into his first ",,
Sports,"
					Kylian Mbappé Receives Mixed Reception from Paris Saint-Germain Fans in Farewell Home Game				",https://www.thezimbabwemail.com/sports/kylian-mbappe-receives-mixed-reception-from-paris-saint-germain-fans-in-farewell-home-game/,"Paris,— Paris Saint-Germain’s star forward Kylian Mbappé experienced a bittersweet farewell from fans during his ",,
Sports,"
					Real Madrid Celebrates Spanish League Triumph in Festive Parade				",https://www.thezimbabwemail.com/sports/real-madrid-celebrates-spanish-league-title-with-fans-after-reaching-champions-league-final/,"Madrid,— Real Madrid, the Spanish football powerhouse, celebrated its 36th league title triumph in style ",,
Sports,"
					Kylian Mbappe Announces Departure from PSG, Speculation Mounts Over Real Madrid Move				",https://www.thezimbabwemail.com/sports/kylian-mbappe-announces-departure-from-psg-speculation-mounts-over-real-madrid-move/,"PARIS – In a heartfelt video message shared on social media platform X, French soccer ",,
Sports,"
					Vinicius Jr Impresses Manager Ancelotti Ahead of Potential Ballon d’Or Triumph				",https://www.thezimbabwemail.com/sports/vinicius-jr-impresses-manager-ancelotti-ahead-of-potential-ballon-dor-triumph/,MADRID – Real Madrid’s dynamic forward Vinicius Jr has captured the attention of fans and ,,
Sports,"
					Guardiola Praises Arsenal’s Title Challenge as Man City Gear Up for Fulham Clash				",https://www.thezimbabwemail.com/sports/guardiola-praises-arsenals-title-challenge-as-man-city-gear-up-for-fulham-clash/,MANCHESTER – Manchester City manager Pep Guardiola has drawn comparisons between Arsenal’s title challenge this ,,
Sports,"
					Erik ten Hag Acknowledges Impact of Injuries Amid Speculation Over Future				",https://www.thezimbabwemail.com/sports/erik-ten-hag-acknowledges-impact-of-injuries-amid-speculation-over-future/,"MANCHESTER – Manchester United’s manager, Erik ten Hag, addressed concerns about the club’s underwhelming season ",,
Sports,"
					National Sports Stadium Renovations Face Setbacks, No Clear Timeline Provided				",https://www.thezimbabwemail.com/sports/national-sports-stadium-renovations-face-setbacks-no-clear-timeline-provided/,HARARE – The optimism of having the National Sports Stadium ready for international football matches ,,
Sports,"
					Bayern Munich labelled sore losers making up stuff about match officials				",https://www.thezimbabwemail.com/sports/bayern-munich-labelled-sore-losers-making-up-stuff-about-match-officials/,MADRID -Bayern Munich defender Matthijs de Ligt revealed that the linesman apologized to him for ,,
Business,"
					Mangudya Sets Ambitious Goals for State-Owned Enterprises Under MIF				",https://www.thezimbabwemail.com/business/mangudya-sets-ambitious-goals-for-state-owned-enterprises-under-mif/,"HARARE – Zimbabwe’s state-owned enterprises (SOEs), John Mangudya, Chief Executive Officer of the MUTAPA Investment ",,
Business,"
					Businesses Urged to Shift Towards ZiG Payments as Tax Deadline Approaches				",https://www.thezimbabwemail.com/business/businesses-urged-to-shift-towards-zig-payments-as-tax-deadline-approaches/,"HARARE – As Zimbabwe prepares for its upcoming quarterly tax deadline, businesses face a significant ",,
Business,"
					Challenges Mount for Business Amid Forex Scarcity				",https://www.thezimbabwemail.com/business/challenges-mount-for-business-amid-forex-scarcity/,HARARE – Businesses in Zimbabwe are facing significant hurdles in securing foreign currency from banks ,,
Business,"
					London listed Ariana Resources Reports Significant Value Increase in Dokwe Project				",https://www.thezimbabwemail.com/business/london-listed-ariana-resources-reports-significant-value-increase-in-dokwe-project/,Ariana Resources PLC has announced a substantial increase in the value of its Dokwe project ,,
Business,"
					Wholesalers Embrace ZiG Currency, Streamlining Trade Across Production and Retail Chain				",https://www.thezimbabwemail.com/business/wholesalers-embrace-zig-currency-streamlining-trade-across-production-and-retail-chain/,"HARARE – In a significant development, wholesalers have seamlessly integrated their systems with the newly ",,
Business,"
					Iconic Meikles Hotel in Harare Renamed Hyatt Regency After Five-Year Acquisition				",https://www.thezimbabwemail.com/business/iconic-meikles-hotel-in-harare-renamed-hyatt-regency-after-five-year-acquisition/,"Harare – Zimbabwe’s renowned Meikles Hotel, a historic landmark in the heart of Harare, has ",,
Business,"
					PwC to Exit Zimbabwe as Deloitte’s Departure Sets Industry Precedent				",https://www.thezimbabwemail.com/business/pwc-to-exit-zimbabwe-as-deloittes-departure-sets-industry-precedent/,"HARARE – PriceWaterhouseCoopers (PwC), one of the globe’s leading accountancy firms, is slated to withdraw ",,
Business,"
					New Charter Airline Plans London-Harare Flights by June				",https://www.thezimbabwemail.com/business/new-charter-airline-plans-london-harare-flights-by-june/,"LONDON, UK – A UK-based virtual carrier, Fly Phoenix Direct Limited, is set to inaugurate ",,
Business,"
					RBZ Governor Threatens Supermarkets with Licence Revocation Over Exchange Rate Violations				",https://www.thezimbabwemail.com/business/rbz-governor-threatens-supermarkets-with-licence-revocation-over-exchange-rate-violations/,HARARE – Reserve Bank of Zimbabwe (RBZ) Governor John Mushayavhanu has issued a stern warning ,,
Business,"
					Zimbabwean Businesses Encouraged to Seize Opportunities in Iran’s Economic Diplomatic Offensive				",https://www.thezimbabwemail.com/business/zimbabwean-businesses-encouraged-to-seize-opportunities-in-irans-economic-diplomatic-offensive/,"Zimbabwe’s Ambassador to Iran, Bright Kupemba, has urged Zimbabwean businesses to capitalize on the opportunities ",,
Politics,"
					Zanu PF’s Bid to Extend Mnangagwa’s Presidency Sparks Concerns				",https://www.thezimbabwemail.com/main/zanu-pfs-bid-to-extend-mnangagwas-presidency-sparks-concerns/,HARARE – Recent remarks by President Emmerson Mnangagwa suggesting a desire to “rule forever” have ,,
Politics,"
					Mutsvangwa Accuses Chiwenga For His Son’s Arrest				",https://www.thezimbabwemail.com/politics/mutsvangwa-accuses-chiwenga-for-his-sons-arrest/,"Harare,— In an unprecedented move, Zanu PF spokesman Chris Mutsvangwa launched a scathing attack on ",,
Politics,"
					Ramaphosa Defends ANC’s Invitation to ZANU PF Amid Opposition Backlash				",https://www.thezimbabwemail.com/main/ramaphosa-defends-ancs-invitation-to-zanu-pf-amid-opposition-backlash/,JOAHHENSBURG – South African President Cyril Ramaphosa has brushed off criticism from opposition parties regarding ,,
Politics,"
					South African opposition in panic mode over Zanu PF-ANC team work				",https://www.thezimbabwemail.com/politics/south-african-opposition-in-panic-mode-over-zanu-pf-assisting-anc/,"JOHANNESBURG – South Africa’s official opposition, the Democratic Alliance (DA), has leveled accusations against the ",,
Politics,"
					Mnangagwa Appoints Commission to Probe Harare City Council				",https://www.thezimbabwemail.com/main/mnangagwa-appoints-commission-to-probe-harare-city-council/,HARARE – President Emmerson Mnangagwa has taken a decisive step in addressing governance concerns within ,,
Politics,"
					SADC Engages Chamisa to Resolve Zimbabwe’s Electoral Dispute				",https://www.thezimbabwemail.com/main/sadc-engages-chamisa-to-resolve-zimbabwes-electoral-dispute/,HARARE – Engagements are currently underway between the Southern African Development Community (Sadc) and embattled ,,
Politics,"
					ANC looks to Zanu PF’s legendary survival instincts				",https://www.thezimbabwemail.com/politics/anc-looks-to-zanu-pfs-survival-instincts/,"Zimbabwe’s ruling Zanu PF party has reportedly received an invitation from its ally, the African ",,
Politics,"
					ZBC Appoints Zanu PF Youth Leader as Acting CEO Amid Controversy				",https://www.thezimbabwemail.com/politics/zbc-appoints-zanu-pf-youth-leader-as-acting-ceo-amid-controversy/,Harare – The Zimbabwe Broadcasting Corporation (ZBC) has stirred controversy with its recent appointment of ,,
Politics,"
					ZANU PF wades into Zimbabwe Gold Currency (ZiG)				",https://www.thezimbabwemail.com/politics/zanu-pf-wades-into-zimbabwe-gold-currency-zig/,HARARE — ZANU PF’s Harare Province has voiced its support for the introduction of the ,,
Politics,"
					Job Sikhala to speak at UN Summit				",https://www.thezimbabwemail.com/politics/job-sikhala-to-speak-at-un-summit/,"GENEVA – Job Sikhala, a prominent opposition figure and former Member of Parliament from Chitungwiza, ",,
Entertainment,"
					Sean “Diddy” Combs Seeks Dismissal of Rape Lawsuit, Denounces Allegations as False				",https://www.thezimbabwemail.com/entertainment/sean-diddy-combs-seeks-dismissal-of-rape-lawsuit-denounces-allegations-as-false/,NEW YORK – Sean “Diddy” Combs has made a legal move to dismiss a lawsuit ,,
Entertainment,"
					Drake vs Kendrick Lamar: The explosive rap battle that has shook the hip-hop world				",https://www.thezimbabwemail.com/entertainment/drake-vs-kendrick-lamar-the-explosive-rap-battle-that-has-shook-the-hip-hop-world/,"THE longstanding feud between hip-hop heavyweights Drake and Kendrick Lamar has ignited once again, marking ",,
Entertainment,"
					Justin and Hailey Bieber Expecting First Child and Renew Vows				",https://www.thezimbabwemail.com/entertainment/justin-and-hailey-bieber-expecting-first-child-and-renew-vows/,NEW YORK — The anticipation is as high as the notes in his 2010 chart-topper ,,
Entertainment,"
					Janet Jackson’s Career Journey to Be Immortalized in New Comic Book Release				",https://www.thezimbabwemail.com/entertainment/janet-jacksons-career-journey-to-be-immortalized-in-new-comic-book-release/,"LOS ANGELES,- TidalWave Comics is set to launch a captivating new comic book that promises ",,
Entertainment,"
					Drake Denies Allegations of Underage Relationships and Secret Love Child Amidst Feud with Kendrick Lamar				",https://www.thezimbabwemail.com/entertainment/drake-denies-allegations-of-underage-relationships-and-secret-love-child-amidst-feud-with-kendrick-lamar/,TORONTO — The ongoing feud between Drake and Kendrick Lamar has taken a controversial turn ,,
Entertainment,"
					Security Guard Injured in Shooting Incident at Drake’s Toronto Mansion				",https://www.thezimbabwemail.com/entertainment/security-guard-injured-in-shooting-incident-at-drakes-toronto-mansion/,"Toronto, Canada – A shooting incident occurred at Canadian rapper Drake’s mansion in Toronto in ",,
Entertainment,"
					Madonna attracts 1.6 million to free concert at Brazil’s Copacabana beach				",https://www.thezimbabwemail.com/entertainment/madonna-attracts-1-6-million-to-free-concert-at-brazils-copacabana-beach/,"RIO DE JANEIRO,- More than a million people thronged Brazil’s Copacabana beach for a free ",,
Entertainment,"
					Mary J. Blige enlists Taraji P. Henson, Tiffany Haddish and more for women’s summit in New York				",https://www.thezimbabwemail.com/entertainment/mary-j-blige-enlists-taraji-p-henson-tiffany-haddish-and-more-for-womens-summit-in-new-york/,LOS ANGELES — Mary J. Blige is bringing her mission to empower women beyond her ,,
Entertainment,"
					The Rolling Stones show no signs of slowing down as they begin their latest tour				",https://www.thezimbabwemail.com/entertainment/the-rolling-stones-show-no-signs-of-slowing-down-as-they-begin-their-latest-tour/,HOUSTON — Time marches on and all good things must come to an end. But ,,
Entertainment,"
					Chicago appeals court rejects R. Kelly ‘s challenge of 20-year sentence				",https://www.thezimbabwemail.com/entertainment/chicago-appeals-court-rejects-r-kelly-s-challenge-of-20-year-sentence/,CHICAGO — The singer R. Kelly was correctly sentenced to 20 years in prison on ,,
